model_key,category,clip_id,window_idx,window_frames,motion,depth,fused
Gen_CogVideoX_2b,object_centric_prompts,a1_0,1,6,0.033368,0.094856,0.083871
Gen_CogVideoX_2b,object_centric_prompts,a2_0,1,6,0.044110,0.068856,0.061451
