model_key,category,clip_id,raw_frames,sampled_frames,n_windows,pair_comparisons,motion,depth,fused
Gen_CogVideoX_2b,object_centric_prompts,a1_0,26,26,1,25,0.002159,0.034791,0.030890
Gen_CogVideoX_2b,object_centric_prompts,a1_0_deform,26,26,1,25,0.007673,0.031315,0.023783
